Page number, Time taken
2, 3.271
4, 3.554
3, 4.195
5, 4.226
6, 5.426
1, 5.503
7, 5.798
8, 6.739
9, 6.819
10, 8.331
12, 8.74
11, 8.769
13, 9.162
14, 9.194
15, 10.66
16, 11.369
17, 11.406
18, 11.893
19, 12.142
20, 13.044
21, 13.729
22, 13.757
23, 14.174
24, 14.478
25, 15.36
26, 16.324
27, 16.361
28, 16.831
29, 17.044
30, 18.245
31, 18.953
32, 19.048
33, 19.719
34, 19.899
35, 21.88
37, 25.206
36, 28.493
38, 30.679
43, 31.33
40, 35.827
41, 39.615
42, 41.12
44, 50.208
48, 50.209
47, 51.227
39, 51.258
51, 51.259
46, 68.725
50, 70.228
54, 70.229
45, 70.637
56, 70.701
49, 71.725
58, 71.902
53, 75.179
52, 76.286
55, 76.578
57, 77.101
59, 77.777
60, 78.185
62, 78.733
61, 79.274
63, 79.55
64, 80.205
65, 80.525
66, 81.134
67, 81.603
68, 82.058
69, 82.536
70, 83.143
71, 83.808
72, 84.215
73, 84.876
74, 85.335
75, 85.72
76, 86.842
77, 87.372
78, 87.977
79, 88.944
80, 89.034
81, 90.31
82, 90.479
83, 91.105
84, 91.897
85, 92.202
86, 93.779
87, 93.811
88, 94.857
90, 96.036
89, 98.172
92, 99.815
93, 102.746
96, 104.508
91, 106.416
97, 106.709
99, 106.885
95, 109.677
98, 109.937
100, 110.89
94, 111.877
101, 113.387
102, 113.531
103, 113.558
104, 114.096
106, 117.475
105, 117.519
107, 117.543
108, 118.111
109, 122.112
112, 123.972
110, 124.186
113, 124.263
114, 126.636
111, 127.214
115, 127.472
116, 127.946
117, 128.114
118, 129.972
120, 130.558
121, 130.891
122, 130.916
119, 131.981
123, 132.169
124, 132.575
125, 133.031
126, 133.124
128, 135.049
129, 135.469
127, 135.842
130, 136.224
131, 136.469
132, 138.261
133, 138.828
134, 138.966
135, 139.098
136, 139.372
137, 141.564
138, 142.084
139, 142.108
140, 142.345
141, 142.571
142, 145.16
143, 145.643
144, 145.677
145, 146.104
146, 146.128
147, 147.888
148, 148.205
149, 148.242
151, 148.539
152, 149.857
150, 150.006
153, 150.133
154, 150.259
155, 151.687
156, 152.266
157, 152.29
158, 152.496
159, 154.839
160, 154.897
162, 155.307
161, 155.353
163, 155.569
164, 157.451
165, 157.491
166, 157.858
167, 157.895
168, 158.007
169, 159.804
170, 159.9
171, 160.274
172, 160.38
173, 160.534
174, 162.129
175, 162.18
176, 162.48
177, 162.72
178, 162.916
180, 164.532
179, 164.648
181, 164.9
182, 165.061
183, 165.24
184, 166.837
186, 167.243
188, 167.699
185, 168.483
187, 168.887
189, 169.463
190, 170.024
191, 170.346
192, 171.033
193, 171.501
194, 172.258
195, 172.862
196, 173.327
197, 174.004
198, 174.816
199, 175.212
200, 175.535
